review_id,rating,review_date,review_text,thumbs_up,review_length,rating_group,issues,issue_count,has_issue
2396eda7-a8ad-4bb5-bee4-83c8fce035cb,5,2026-05-01 07:42:02,"Carayah beda sama you tube k,beda di youtube engga ada masukan pin m-bca. Sekarang ada masukan pin bca,jadi belum selesai registrasi Mohon maaf k,pengguna baru masih ragu².🙏",0,27,positive,,0,False
1382e567-d25e-46b2-9456-99f49c901bf7,5,2026-05-01 09:34:18,puas dengan BCA mobile,0,4,positive,,0,False
60373c7b-5f7c-4725-93f5-b0877bd767e9,1,2026-05-01 09:53:40,TOLONG APK BCA MOBILE BANKING NYA DIPERBAIKI LAGI LEMOOT BANGET MAU TRANSAKSI SELAMA INI SAYA PIKIR HP SAYA YG NGELEG UDAH GANTI HP TERNYATA EMANG APK NYA TERIMAKASIH,0,28,negative,,0,False
042470e3-1eae-4f92-9830-1ed331edd839,1,2026-05-01 10:06:17,top up flazz transaksi gagal di tapi saldo rekening tetap kepotong. emang kaya gitu ya aturan nya,0,17,negative,transaction_failed_balance_deducted,1,True
9a32e854-5285-4fe1-83c5-df0341364c1d,1,2026-05-01 10:21:09,"aplikasi macam apa ini,di daftarin berkali kalih ngirim sms untuk aktivasi ke no 89888 gagal trus,mending gagal klo pulsa ga kemakan,ini udh gagal pulsa kemakan lgi,RAKUS!!!!!",0,26,negative,transaction_failed_balance_deducted,1,True
9e6585fc-e200-4804-aa23-c2f4f26f237b,3,2026-05-01 11:11:07,"kenapa masih pake SMS sih,semua bank udah pake wa kenapa masih pake SMS?",0,13,neutral,,0,False
9dbf2102-6220-4d9e-9d4b-2158b546215d,1,2026-05-01 11:15:46,ngeselin ini lampunya merah terosss padahal sinyal bagus,0,8,negative,indicator_light_stuck,1,True
381cdfb0-3483-4266-8887-51cee95009f5,3,2026-05-01 11:26:21,"Malas banget, hpku eror jdi hrus direstart, abis itu mau login lagi, udh kena pulsa masih aja ga bisa lanjut",0,20,neutral,app_performance,1,True
e4b84391-d0dd-45f5-b236-5e7cc7678c5e,1,2026-05-01 11:36:46,nggak jelas bgt,0,3,negative,,0,False
3eadc3d4-d6ce-4463-87cc-cbf253809c17,2,2026-05-01 11:58:10,"eror terus BCA skarang,habisin pulsa Mulu buat masuk..tolong dong perbaiki lagi",0,11,negative,app_performance,1,True
8e84b05b-06cd-4d9b-83f4-0cdd5c4641c8,1,2026-05-01 12:29:11,mau Regis aja harus ke mesin ATM percuma ada mbangking kalo ke ATM atau ke cs sedangkan saya kerja pagi gmana ngurus nya harus di upgrade mbangking percuma potong pulsa untuk verifikasi ujung ujung nya ke mesin ATM dan cs hadeh,0,41,negative,"transaction_failed_balance_deducted,customer_service",2,True
141589c0-2560-476c-80f6-15d451ead0b3,2,2026-05-01 12:50:06,masa tiba2 hilang dari menu hp sih apk nya,0,9,negative,,0,False
ae959ae9-75bb-44d8-be21-bfc9623e143a,5,2026-05-01 13:03:14,sangat bagus sekali👍👍,0,3,positive,,0,False
3db1a01c-0ce4-4472-b53c-8737a9443a57,5,2026-05-01 16:03:57,ok,0,1,positive,,0,False
f3c9a71b-fa33-45db-9108-fe7ec78e7455,5,2026-05-01 16:15:28,bagus dan baik,0,3,positive,,0,False
2d302be0-7ca3-4b2e-8cb1-111e73a8f744,4,2026-05-01 16:47:21,"Hanya saran saja.bagaimana jika menghapus bukti transaksi jangan sedikit sedikit (5), ganti misal dengan jumlah 10, terus terang ribet dan menguras waktu",1,22,positive,,0,False
aae01178-4238-4ed1-a97b-fbe3532c1b71,5,2026-05-01 17:58:52,saya kok GK bsa TF ke bedaa bank atau ke sesama rekening... padahal saldo ada...,0,15,positive,,0,False
a7d4b366-d76a-42a3-9dd6-81dde9b209ea,1,2026-05-01 18:09:51,BCA mobile kenapa sih dari tadi lampu indikatornya merah terus gak berubah berubah padahal internet bagus bahkan pakai wifi pula,0,20,negative,indicator_light_stuck,1,True
75c595f6-22fe-4a9b-9a39-154a89cc77e2,5,2026-05-01 18:26:52,bca telah membatu transaksi dari ovo ke bca cepat dan mamtab terimakasih,0,12,positive,,0,False
2f5df828-f9ea-4dcd-a003-334e97db02fc,1,2026-05-01 19:09:06,"aplikasi sangat sangat sangat lemot indikator lampu selalu berwarna merah padahal tidak ada masalah jaringan. jengkel kalau dibawa buru-buru transaksi, lebih enak pakai ewalet tidak ribet dengan aturan lampu notifikasi yg harus berwarna hijau.",15,34,negative,"indicator_light_stuck,app_performance",2,True
ac9a8157-2f13-4347-95c2-5668990a3366,2,2026-05-01 19:46:10,internet server bca di perbaharui dong biar cepat biar gk maintnace terus,0,12,negative,,0,False
5d52344b-5386-404f-bce4-8ed334a95f09,5,2026-05-01 20:07:30,sangat puas,0,2,positive,,0,False
0e62f258-5974-46af-853a-eaf9d59bbacc,1,2026-05-01 22:14:24,menu pajak atau penerimaan negara ko tidak ada,0,8,negative,,0,False
0fe584bd-0b83-457c-aec1-aca7186b4f02,1,2026-05-01 23:35:26,tidak bisa dibuka. selalu gagal di kirim sms,0,8,negative,app_performance,1,True
400d8dea-3251-4811-ba62-f4bfb1df8e4f,1,2026-05-01 23:37:00,saya mau daftar ke mobile BCA tetapi tidak bisa tapi diarahkan ke kirim pesan untuk melakukan registrasi untuk pendaptaran ke BCA mobile sampai2 banyak pulsa saya habis untuk mengirim pesan,0,30,negative,,0,False
d97c45ee-41a6-4de4-87d0-705fad371190,3,2026-05-02 00:21:42,"Ini kenapa aplikasinya ngga pernah nampilin notifikasi transaksi? terutama klo ada saldo masuk, tolong dibenerin min, saya disettingan udah on semua, tapi tetap ga ada notif",1,26,neutral,,0,False
8926b8ab-84aa-4cf2-a96e-14b2fb6ad5ac,5,2026-05-02 00:33:54,ok,0,1,positive,,0,False
f0c39b19-846a-4b24-9a57-08d6004f36e8,5,2026-05-02 01:04:31,bagus,0,1,positive,,0,False
83117688-cd80-4644-b01b-53e20964735d,4,2026-05-02 02:54:20,"Sebanarnya gak ada yang salah, aplikasi MBCA ini lebih simpel ringan dan lebih praktis dari pada myBCA, tapi please BCA bolehlah ubah Icon nya aja. Asli Icon nya kek jadul banget. Please paling nga warna biru nya seperti MyBCA aja, dope gak kilau gitu, tanpa grid putih di pinggirannya juga. Please banget, nanti jadi bintang 5 😭",4,57,positive,,0,False
8fa43c6a-cf92-4566-bb17-f49989871f09,5,2026-05-02 03:18:30,Ok,0,1,positive,,0,False
d1cdbc54-7d78-4005-93de-d93a9ac39aba,1,2026-05-02 05:07:13,kenapa saya di suruh registrasi ulang trs k atm terdekat katanya. padahal saya skrng sdh pindah kerja ke daerah yg g ada atm bca nya apalagi kantor bank cabang nya masa iya saya hrs k kota dlu biar bisa pakai mbangking saya dan perjalanan ke kota makan waktu 4 jam dlu dan saya cuma ada waktu libur itu hari minggu saja.,0,61,negative,customer_service,1,True
0a5e83bd-875f-413d-a309-9f218815891c,1,2026-05-02 05:32:21,"M Banking paling lemot sedunia,,😠",0,5,negative,app_performance,1,True
1392ea03-db31-4560-891d-4c1e009bc142,4,2026-05-02 05:56:31,"Yth Bank BCA, tolong aplikasi BCA mobile saya kenapa tidak bisa login ? tiba2 saja di klik aplikasinya langsung keluar sendiri coba masuk lagi di klik sama seperti itu lagi ... tolong BCA gimana ini...",0,35,positive,"login_otp_access,app_performance",2,True
5bcffa4b-2f64-4c64-85ff-0ba4366c8357,5,2026-05-02 05:58:35,sangat membantu .,0,3,positive,,0,False
